nodeID nodeLabel
1 ASF1
2 hist1h3g
3 h4-A
4 H2afz
5 hist1h2bj
6 cbx2
7 RING1
8 psmd14
9 PLEKHB2
10 CDC7
11 mcm2
12 cdk1-a
13 NEK9
14 cgn
15 TJP1
16 TJP2
17 MLLT4
18 Tjp1
19 CTBP1
20 CTBP2
21 PIN1
22 sox3
23 ventx2.1-b
24 wee1B
25 pkmyt1
26 NHLH1
27 XLMO1
28 RTT109
29 CRK
30 Xpo1
31 PPARg
32 RXRA
33 MGC53867
34 CHAF1A
35 Axin1
36 APC
37 CSE1L
38 kpna2
39 smc2
40 smc4
41 RPL23A
42 KPNB2
43 NAP1
44 hist1h2aj
45 hist1h4a
46 h2afz
47 plk1
48 BORA
49 SCNN1G
50 ubc
51 rab40
52 tceb1
53 rap2a
54 tceb2
55 mink1
56 dvl2
57 hmmr
58 tpx2-a
59 tubg1
60 ndel1-a
61 lmnb3
62 LOC407840
63 MECP2
64 cdc6
65 Atr
66 CDC6
67 dtl-b
68 ddb1
69 pin1-b
70 FBXW7
71 nlk.2
72 rnf138
73 UBE2K
74 incenp-a
75 aurkb-b
76 cdca9
77 cdca8
78 birc5.1-a
79 birc5.2-a
80 stmn1-a
81 Mbp
82 kpnb1
83 ranbp2
84 NUP153
85 Nup98
86 nup50
87 nup160
88 nup85
89 cetn1
90 ahctf1
91 tnpo1
92 nup107
93 nup43
94 Cdc7
95 chaf1a
96 DBF4
97 dbf4b
98 kat7
99 orc1
100 cdt1
101 orc2
102 GMNN
103 mcm3
104 skp2
105 CUL1
106 RBX1
107 cdknx
108 eif4g2
109 nploc4
110 ufd1l
111 aurkb-a
112 lemd3
113 smad1-a
114 smad4.2-b
115 smad9
116 smad2
117 srrm1
118 smc1ab
119 thra
120 ncor1
121 tubgcp3
122 RUVBL1
123 med15
124 smad4.1
125 smad3
126 SUV39H1
127 epc2
128 epn2
129 UBC
130 lrp5
131 wnt11
132 wnt5a
133 rac3
134 rhoa-a
135 zbtb33
136 tcf3
137 ctnnb1-b
138 Ruvbl1
139 ruvbl2
140 cbx5
141 suv39h1
142 smarca4
143 neurog2-a
144 neurod1-A
145 thrb
146 ATM
147 mcm4-A
148 mcm7-b
149 tbx2-a
150 aurka
151 kif15-a
152 blm
153 top3a
154 hat1
155 ywhae
156 rbbp4-a
157 ywhaz-a
158 mef2d-a
159 hdac9
160 tbl1xr1-a
161 ncor2
162 rxra
163 cdk2
164 neurl
165 dll1
166 fancg
167 fancm
168 fanca
169 wnt8a
170 cxxc4
171 dvl1
172 szl
173 Tll1
174 Bmp1
175 hist1h1d
176 ipo7
177 asf1a
178 hira
179 chaf1b
180 smad1-b
181 Smurf1
182 SMURF1
183 pias4
184 parp1
185 inpp5k
186 tcf7
187 tcf4
188 lef1
189 hdac1-b
190 pcna
191 Neurl2
192 spry2
193 SIAH2
194 twist1-A
195 ELSPBP1
196 rnf185
197 psma3
198 psma6
199 pxn
200 PSMB3
201 rpn1
202 rad23b
203 psma4
204 psma5
205 psma7-a
206 psmc2
207 psmc3
208 psmc5
209 Psmd12
210 psmd8-a
211 rps27a
212 uba52
213 ubl4a
214 ubqln1
215 ubqln4
216 rpn2
217 bcap31
218 gnb2l1
219 ube2k
220 mapre2
221 phb2
222 PKM2
223 sgta
224 erlin2-a
225 srp54
226 srp68
227 tmpo
228 tomm70a
229 hsp90b1
230 g6pd
231 hspb1
232 sumo1-b
233 senp1-a
234 sumo2-b
235 senp3
236 senp6
237 senp7
238 senp5
239 Uhrf1
240 hist2h2ab
